Braveheart,1995,"Biography, Drama, History",8.3
Reservoir Dogs,1992,"Crime, Drama, Thriller",8.3
Full Metal Jacket,1987,"Drama, War",8.3
Idi i smotri,1985,"Drama, Thriller, War",8.3
Aliens,1986,"Action, Adventure, Sci-Fi",8.3
Amadeus,1984,"Biography, Drama, History",8.3
Scarface,1983,"Crime, Drama",8.3
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3
Das Boot,1981,"Adventure, Drama, Thriller",8.3
Taxi Driver,1976,"Crime, Drama",8.3
The Sting,1973,"Comedy, Crime, Drama",8.3
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",8.3
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",8.3
Per qualche dollaro in piÃ¹,1965,Western,8.3
Lawrence of Arabia,1962,"Adventure, Biography, Drama",8.3
The Apartment,1960,"Comedy, Drama, Romance",8.3
North by Northwest,1959,"Adventure, Mystery, Thriller",8.3
Vertigo,1958,"Mystery, Romance, Thriller",8.3
Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3
Ikiru,1952,Drama,8.3
Ladri di biciclette,1948,Drama,8.3
Double Indemnity,1944,"Crime, Drama, Film-Noir",8.3
Citizen Kane,1941,"Drama, Mystery",8.3
M - Eine Stadt sucht einen MÃ¶rder,1931,"Crime, Mystery, Thriller",8.3
Metropolis,1927,"Drama, Sci-Fi",8.3
The Kid,1921,"Comedy, Drama, Family",8.3
Chhichhore,2019,"Comedy, Drama",8.2
Uri: The Surgical Strike,2018,"Action, Drama, War",8.2
K.G.F: Chapter 1,2018,"Action, Drama",8.2
Green Book,2018,"Biography, Comedy, Drama",8.2
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",8.2
Talvar,2015,"Crime, Drama, Mystery",8.2
Baahubali 2: The Conclusion,2017,"Action, Drama",8.2
Klaus,2019,"Animation, Adventure, Comedy",8.2
Drishyam,2015,"Crime, Drama, Mystery",8.2
Queen,2013,"Adventure, Comedy, Drama",8.2
Mandariinid,2013,"Drama, War",8.2
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",8.2
Gangs of Wasseypur,2012,"Action, Comedy, Crime",8.2
Udaan,2010,Drama,8.2
Paan Singh Tomar,2012,"Action, Biography, Crime",8.2
El secreto de sus ojos,2009,"Drama, Mystery, Romance",8.2
Warrior,2011,"Action, Drama, Sport",8.2
Shutter Island,2010,"Mystery, Thriller",8.2
Up,2009,"Animation, Adventure, Comedy",8.2
The Wolf of Wall Street,2013,"Biography, Crime, Drama",8.2
Chak De! India,2007,"Drama, Family, Sport",8.2
There Will Be Blood,2007,Drama,8.2
Pan's Labyrinth,2006,"Drama, Fantasy, War",8.2
Toy Story 3,2010,"Animation, Adventure, Comedy",8.2
V for Vendetta,2005,"Action, Drama, Sci-Fi",8.2
Rang De Basanti,2006,"Comedy, Crime, Drama",8.2
Black,2005,Drama,8.2
Batman Begins,2005,"Action, Adventure",8.2
"Swades: We, the People",2004,Drama,8.2
Der Untergang,2004,"Biography, Drama, History",8.2
Hauru no ugoku shiro,2004,"Animation, Adventure, Family",8.2
A Beautiful Mind,2001,"Biography, Drama",8.2
Hera Pheri,2000,"Action, Comedy, Crime",8.2
"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",8.2
L.A. Confidential,1997,"Crime, Drama, Mystery",8.2
Eskiya,1996,"Crime, Drama, Thriller",8.2
Heat,1995,"Crime, Drama, Thriller",8.2
Casino,1995,"Crime, Drama",8.2
Andaz Apna Apna,1994,"Action, Comedy, Romance",8.2
Unforgiven,1992,"Drama, Western",8.2
Indiana Jones and the Last Crusade,1989,"Action, Adventure",8.2
Dom za vesanje,1988,"Comedy, Crime, Drama",8.2
Tonari no Totoro,1988,"Animation, Family, Fantasy",8.2
Die Hard,1988,"Action, Thriller",8.2
Ran,1985,"Action, Drama, War",8.2
Raging Bull,1980,"Biography, Drama, Sport",8.2
Stalker,1979,"Drama, Sci-Fi",8.2
HÃ¶stsonaten,1978,"Drama, Music",8.2
The Message,1976,"Biography, Drama, History",8.2
Sholay,1975,"Action, Adventure, Comedy",8.2
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",8.2
The Great Escape,1963,"Adventure, Drama, History",8.2
To Kill a Mockingbird,1962,"Crime, Drama",8.2
YÃ´jinbÃ´,1961,"Action, Drama, Thriller",8.2
Judgment at Nuremberg,1961,"Drama, War",8.2
Some Like It Hot,1959,"Comedy, Music, Romance",8.2
SmultronstÃ¤llet,1957,"Drama, Romance",8.2
Det sjunde inseglet,1957,"Drama, Fantasy, History",8.2
Du rififi chez les hommes,1955,"Crime, Drama, Thriller",8.2
Dial M for Murder,1954,"Crime, Thriller",8.2
TÃ´kyÃ´ monogatari,1953,Drama,8.2
RashÃ´mon,1950,"Crime, Drama, Mystery",8.2
All About Eve,1950,Drama,8.2
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",8.2
To Be or Not to Be,1942,"Comedy, War",8.2
The Gold Rush,1925,"Adventure, Comedy, Drama",8.2
Sherlock Jr.,1924,"Action, Comedy, Romance",8.2
Portrait de la jeune fille en feu,2019,"Drama, Romance",8.1
Pink,2016,"Drama, Thriller",8.1
Koe no katachi,2016,"Animation, Drama, Family",8.1
Contratiempo,2016,"Crime, Drama, Mystery",8.1
Ah-ga-ssi,2016,"Drama, Romance, Thriller",8.1
Mommy,2014,Drama,8.1
Haider,2014,"Action, Crime, Drama",8.1
Logan,2017,"Action, Drama, Sci-Fi",8.1
Room,2015,"Drama, Thriller",8.1
Relatos salvajes,2014,"Comedy, Drama, Thriller",8.1
Soul,2020,"Animation, Adventure, Comedy",8.1
Kis Uykusu,2014,Drama,8.1
PK,2014,"Comedy, Drama, Musical",8.1
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",8.1
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",8.1
Gone Girl,2014,"Drama, Mystery, Thriller",8.1
Ã”kami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",8.1
Hacksaw Ridge,2016,"Biography, Drama, History",8.1
Inside Out,2015,"Animation, Adventure, Comedy",8.1
Barfi!,2012,"Comedy, Drama, Romance",8.1
12 Years a Slave,2013,"Biography, Drama, History",8.1
Rush,2013,"Action, Biography, Drama",8.1
Ford v Ferrari,2019,"Action, Biography, Drama",8.1
Spotlight,2015,"Biography, Crime, Drama",8.1
Song of the Sea,2014,"Animation, Adventure, Drama",8.1
Kahaani,2012,"Mystery, Thriller",8.1
Zindagi Na Milegi Dobara,2011,"Comedy, Drama",8.1
Prisoners,2013,"Crime, Drama, Mystery",8.1
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",8.1
A Wednesday,2008,"Action, Crime, Drama",8.1
Gran Torino,2008,Drama,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",8.1
Okuribito,2008,"Drama, Music",8.1
Hachi: A Dog's Tale,2009,"Biography, Drama, Family",8.1
Mary and Max,2009,"Animation, Comedy, Drama",8.1
How to Train Your Dragon,2010,"Animation, Action, Adventure",8.1
Into the Wild,2007,"Adventure, Biography, Drama",8.1
No Country for Old Men,2007,"Crime, Drama, Thriller",8.1
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",8.1
Million Dollar Baby,2004,"Drama, Sport",8.1
Hotel Rwanda,2004,"Biography, Drama, History",8.1
Taegukgi hwinalrimyeo,2004,"Action, Drama, War",8.1
Before Sunset,2004,"Drama, Romance",8.1
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",8.1
Salinui chueok,2003,"Crime, Drama, Mystery",8.1
Dil Chahta Hai,2001,"Comedy, Drama, Romance",8.1
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",8.1
Finding Nemo,2003,"Animation, Adventure, Comedy",8.1
Catch Me If You Can,2002,"Biography, Crime, Drama",8.1
Amores perros,2000,"Drama, Thriller",8.1
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",8.1
"Shin seiki Evangelion GekijÃ´-ban: Air/Magokoro wo, kimi ni",1997,"Animation, Action, Drama",8.1
Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical",8.1
The Sixth Sense,1999,"Drama, Mystery, Thriller",8.1
La leggenda del pianista sull'oceano,1998,"Drama, Music, Romance",8.1
The Truman Show,1998,"Comedy, Drama",8.1
"Crna macka, beli macor",1998,"Comedy, Crime, Romance",8.1
The Big Lebowski,1998,"Comedy, Crime, Sport",8.1
Fa yeung nin wah,2000,"Drama, Romance",8.1
Trainspotting,1996,Drama,8.1
Fargo,1996,"Crime, Drama, Thriller",8.1
Underground,1995,"Comedy, Drama, War",8.1
La haine,1995,"Crime, Drama",8.1
Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",8.1
Before Sunrise,1995,"Drama, Romance",8.1
Trois couleurs: Rouge,1994,"Drama, Mystery, Romance",8.1
